Customer_ID,Customer_Name,Gender,Age,State,City,Bank_Branch,Account_Type,Transaction_ID,Transaction_Date,Transaction_Time,Transaction_Amount,Merchant_ID,Transaction_Type,Merchant_Category,Account_Balance,Transaction_Device,Transaction_Location,Device_Type,Is_Fraud,Transaction_Currency,Customer_Contact,Transaction_Description,Customer_Email
99d95f63-a2fa-4707-b577-f4a008e6700e,Theodore Suri,Male,56,Dadra and Nagar Haveli and Daman and Diu,Silvassa,Silvassa Branch,Business,aa3832eb-c0f0-48b1-b195-a376a1e17797,24-01-2025,12:41:39,85269.3,edb8e488-50ce-4d73-8dfd-ba561b4bc17b,Debit,Restaurant,74322.85,Biometric Scanner,"Silvassa, Dadra and Nagar Haveli and Daman and Diu",Desktop,1,INR,+9194951XXXXXX,Gift for colleague,theodoreXXX@XXXXX.com
54fb2e67-b087-4522-a5c4-af69f95cd9df,Jalsa Menon,Male,24,Chhattisgarh,Durg,Durg Branch,Savings,b33c79ab-4d81-4d12-baf3-2b13cf67608a,28-01-2025,12:45:24,70219.41,63c2e9fc-a4fb-4d1a-9e36-bd3b15f2d0df,Withdrawal,Electronics,60905.65,ATM Booth Kiosk,"Durg, Chhattisgarh",POS,1,INR,+9195352XXXXXX,Mobile phone payment,jalsaXXX@XXXXXXX.com
ad5f8799-179f-4b1d-887c-cace22837d3e,Ishanvi Kant,Female,39,Uttar Pradesh,Varanasi,Varanasi Branch,Business,0d970d8f-dd99-401b-a7ba-83a276a7cf49,19-01-2025,21:10:35,28020.64,0c839013-3a9f-4ee0-a524-6653c6401f51,Debit,Groceries,88389.09,QR Code Scanner,"Varanasi, Uttar Pradesh",Mobile,1,INR,+9199750XXXXXX,Property tax payment,ishanviXXXXX@XXXXX.com
6e9eaae0-ed2c-40b7-af0c-14e02647a39c,Peter Dhawan,Female,52,Manipur,Imphal,Imphal Branch,Checking,402d686c-e7b1-4857-b8b0-b6c384b56611,10-01-2025,08:42:37,37118.69,64afe7f3-aad9-4c15-ae06-b4ba051b9b0d,Credit,Restaurant,56382.68,Wearable Device,"Imphal, Manipur",POS,1,INR,+9191682XXXXXX,Grocery delivery,peterXXXXX@XXXXXX.com
f7d6bcdb-2c7e-4456-9cbc-1516a9186b55,Gopal Ratta,Male,28,Haryana,Gurugram,Gurugram Branch,Savings,f2f00aa5-0896-4cc1-bb52-0f7822b1e741,23-01-2025,05:07:52,17317.33,b9d7911a-7552-403f-95c0-2d0549de0889,Withdrawal,Groceries,75460.68,ATM,"Gurugram, Haryana",Mobile,1,INR,+9198024XXXXXX,Bank transfer,gopalXXXX@XXXXXXX.com
308042ad-3834-44e4-8cef-d40e0c4d95ce,Ryan Nagi,Male,43,Rajasthan,Jaipur,Jaipur Branch,Savings,89ea6b9a-4986-4797-ba43-d3bc75f38aa7,18-01-2025,22:29:05,1517.59,54415dae-295f-4a1d-8268-632290435846,Credit,Clothing,32999.19,Tablet,"Jaipur, Rajasthan",Mobile,1,INR,+9193083XXXXXX,Home repairs,ryanXXXX@XXXXXXX.com
8d33de65-6a5a-4d15-9370-ac2caa893fac,Rachita Jayaraman,Female,21,Arunachal Pradesh,Tawang,Tawang Branch,Checking,895066f2-7aaf-4e4a-9c5c-b85b8a93863b,26-01-2025,10:08:56,82488.69,3a53961e-9713-441d-bbd3-c2361543d5e5,Credit,Restaurant,81233.02,POS Mobile App,"Tawang, Arunachal Pradesh",Mobile,1,INR,+9199065XXXXXX,Music concert tickets,rachitaXXXX@XXXXX.com
84746b16-2d7b-46e4-a50d-1e7895b03ee0,Niharika Kari,Male,29,Rajasthan,Kota,Kota Branch,Savings,9c79a7f5-7dd7-4e43-adb9-21a749cc7b67,16-01-2025,05:17:36,70716.71,b13b4362-3e33-4c18-8a22-350712b3c977,Withdrawal,Groceries,35780.01,Self-service Banking Machine,"Kota, Rajasthan",POS,1,INR,+9193307XXXXXX,Meal plan,niharikaXXXX@XXXXXXX.com
9d52b714-f199-4f43-b7ae-c0cbaadf5aa8,Yashoda Parmer,Male,33,Delhi,South Delhi,South Delhi Branch,Savings,f06a7b59-67a5-48e2-99d2-e9786391fa72,04-01-2025,13:34:13,32001.45,b367efc3-ef55-48fc-92ee-3bc21e262fec,Bill Payment,Groceries,82154.78,Desktop/Laptop,"South Delhi, Delhi",Mobile,1,INR,+9191690XXXXXX,Insurance claim,yashodaXXX@XXXXX.com
c85d7cf8-49cd-4f30-b03d-784d149b8b9b,Prisha Venkataraman,Male,41,Gujarat,Surat,Surat Branch,Business,7453e3ab-f160-40db-ab3f-040ca81fcdff,11-01-2025,21:11:08,39955.85,90ce394f-e23c-4d36-b7ed-b39320352ea7,Debit,Health,62238.26,Debit/Credit Card,"Surat, Gujarat",Desktop,1,INR,+9198755XXXXXX,Online subscription,prishaXXXXX@XXXXXX.com
